DNI,Index_original,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_complet,Nascut_a_Espanya,data_naixement,edat,Increment,Salari mensual actualitzat
60287803J,267,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1503,Sí,Grup B,Pau Ferrer,True,1991-03-15,34,0.035,1555.6
24315095T,268,Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2140,No,Grup B,Toni Ferrer,True,1964-02-24,61,0.035,2214.9
14473175F,269,Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2222,No,Grup B,Oriol Castells,True,1965-03-17,60,0.035,2299.77
56555741Z,270,Marco,Conti Rossi,Itàlia,Roma,4,1,1986,Home,1450,No,Grup B,Marco Conti Rossi,False,1986-01-04,39,0.035,1500.75
21390098Z,278,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1557,Sí,Grup B,Mia Fischer,False,1950-08-11,75,0.035,1611.5
14688639J,287,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1840,No,Grup B,Toni Castells Ferrer,True,1974-11-15,51,0.035,1904.4
56867791S,290,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1398,No,Grup B,Marc Castells Sánchez,True,2000-06-24,25,0.035,1446.93
80471691R,291,Laia,Sánchez,Espanya,Sevilla,3,3,1982,Dona,1850,Sí,Grup B,Laia Sánchez,True,1982-03-03,43,0.035,1914.75
66854670R,292,George,Jones Taylor,Regne Unit,Londres,27,5,2000,,2100,No,Grup B,George Jones Taylor,False,2000-05-27,25,0.035,2173.5
61862070S,294,Núria,Castells,Espanya,València,25,12,1992,Dona,2023,Sí,Grup B,Núria Castells,True,1992-12-25,32,0.035,2093.8
91287275Z,298,Luisa,González Cruz,Mèxic,Ciutat de Mèxic,20,11,1990,Dona,1201,Sí,Grup B,Luisa González Cruz,False,1990-11-20,35,0.035,1243.03
92774049Y,300,Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1461,No,Grup B,Oriol Romero García,True,1972-09-05,53,0.035,1512.14
93432185G,301,Oriol,Martínez,Espanya,Sevilla,26,7,1957,Home,2282,No,Grup B,Oriol Martínez,True,1957-07-26,68,0.035,2361.87
20520614Y,302,Núria,Ferrer,Espanya,Barcelona,9,6,1959,,1961,No,Grup B,Núria Ferrer,True,1959-06-09,66,0.035,2029.63
42280605C,303,Clara,García,Espanya,Sevilla,16,10,1951,Dona,1429,Sí,Grup B,Clara García,True,1951-10-16,74,0.035,1479.02
66171387W,309,Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1185,No,Grup B,Valentina Rojas,False,1959-09-06,66,0.035,1226.47
59071537P,313,Carla,Sánchez,Espanya,Madrid,2,7,1990,Dona,1522,Sí,Grup B,Carla Sánchez,True,1990-07-02,35,0.035,1575.27
17102266H,315,Marta,Romero García,Espanya,València,3,4,1972,Altres,1350,Sí,Grup B,Marta Romero García,True,1972-04-03,53,0.035,1397.25
21135917V,316,Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2040,No,Grup B,Valentina Torres,False,1968-01-14,57,0.035,2111.4
47660164G,318,Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2303,No,Grup B,Jordi Romero Martínez,True,1983-06-11,42,0.035,2383.6
62152209S,319,Laia,García,Espanya,Madrid,9,8,1991,Dona,1495,No,Grup B,Laia García,True,1991-08-09,34,0.035,1547.32
29753711H,320,Anna,Ferrer Castells,Espanya,Bilbao,18,8,1992,Dona,1317,Sí,Grup B,Anna Ferrer Castells,True,1992-08-18,33,0.035,1363.09
57378189F,321,Toni,López,Espanya,Madrid,12,10,1964,Home,1367,Sí,Grup B,Toni López,True,1964-10-12,61,0.035,1414.84
79676573H,322,Marta,Ferrer Sánchez,Espanya,València,18,3,1952,Dona,1299,Sí,Grup B,Marta Ferrer Sánchez,True,1952-03-18,73,0.035,1344.46
96964440V,323,Marco,Russo,Itàlia,Torí,13,7,1982,Home,2194,No,Grup B,Marco Russo,False,1982-07-13,43,0.035,2270.79
14889781M,328,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1912,Sí,Grup B,Lucas Álvarez Álvarez,False,1981-05-17,44,0.035,1978.92
16129804M,331,Arnau,García,Espanya,València,11,2,1953,Home,1886,No,Grup B,Arnau García,True,1953-02-11,72,0.035,1952.01
92922593Z,332,Arnau,López,Espanya,Madrid,4,4,1994,Altres,1803,No,Grup B,Arnau López,True,1994-04-04,31,0.035,1866.1
89271483K,335,Camila,Ramírez González,Mèxic,Guadalajara,10,4,1965,Dona,1853,No,Grup B,Camila Ramírez González,False,1965-04-10,60,0.035,1917.85
59372221S,338,Laia,Ferrer,Espanya,Bilbao,22,5,1978,Dona,1218,No,Grup B,Laia Ferrer,True,1978-05-22,47,0.035,1260.63
61477292C,339,Marta,Romero,Espanya,Bilbao,8,7,1978,Dona,1846,No,Grup B,Marta Romero,True,1978-07-08,47,0.035,1910.61
13998302S,355,Clara,Ferrer Martínez,Espanya,Sevilla,24,5,1951,Dona,1767,No,Grup B,Clara Ferrer Martínez,True,1951-05-24,74,0.035,1828.84
72888019J,357,María,González Hernández,Mèxic,Ciutat de Mèxic,14,7,1965,Dona,1615,No,Grup B,María González Hernández,False,1965-07-14,60,0.035,1671.52
99123197C,359,Marc,Sánchez Castells,Espanya,Sevilla,21,3,1980,Home,1279,No,Grup B,Marc Sánchez Castells,True,1980-03-21,45,0.035,1323.76
37655961A,360,Núria,García,Espanya,Barcelona,2,5,1989,Dona,1627,Sí,Grup B,Núria García,True,1989-05-02,36,0.035,1683.94
50292113M,361,Laia,López,Espanya,Madrid,21,4,1984,Dona,1179,Sí,Grup B,Laia López,True,1984-04-21,41,0.035,1220.26
68186758D,365,Carla,García,Espanya,Barcelona,6,10,2001,Dona,1962,Sí,Grup B,Carla García,True,2001-10-06,24,0.035,2030.67
10882370B,367,Núria,Romero Martínez,Espanya,València,16,3,2004,Dona,1378,Sí,Grup B,Núria Romero Martínez,True,2004-03-16,21,0.035,1426.23
89173930Q,368,Sophie,Moreau Lefevre,França,Marsella,11,1,1995,Dona,1742,Sí,Grup B,Sophie Moreau Lefevre,False,1995-01-11,30,0.035,1802.97
50829502T,373,Núria,Ferrer Romero,Espanya,Sevilla,16,3,1989,Dona,1257,No,Grup B,Núria Ferrer Romero,True,1989-03-16,36,0.035,1300.99
53457611N,375,Arnau,López López,Espanya,Bilbao,6,6,1991,Home,1382,No,Grup B,Arnau López López,True,1991-06-06,34,0.035,1430.37
59779704A,377,Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1385,Sí,Grup B,Clara Romero López,True,1985-12-08,39,0.035,1433.48
35566470L,378,Carla,López Sánchez,Espanya,Bilbao,11,10,1961,Dona,1626,Sí,Grup B,Carla López Sánchez,True,1961-10-11,64,0.035,1682.91
93122931K,380,Toni,Ferrer,Espanya,Bilbao,5,9,1957,Home,1415,No,Grup B,Toni Ferrer,True,1957-09-05,68,0.035,1464.52
63960462M,381,Anna,Castells Martínez,Espanya,Bilbao,6,3,1959,Dona,1561,Sí,Grup B,Anna Castells Martínez,True,1959-03-06,66,0.035,1615.63
43756083N,383,Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1666,No,Grup B,Mia Fischer,False,1953-09-08,72,0.035,1724.31
28171073A,390,Núria,Martínez Romero,Espanya,Bilbao,9,7,1965,Dona,1619,Sí,Grup B,Núria Martínez Romero,True,1965-07-09,60,0.035,1675.66
17164182B,391,Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1334,Sí,Grup B,Sara Torres Castro,False,1992-02-25,33,0.035,1380.69
10352133N,393,Marco,Conti Russo,Itàlia,Torí,28,1,2005,Home,2002,No,Grup B,Marco Conti Russo,False,2005-01-28,20,0.035,2072.07
94310395L,396,Ali,Bennani,Marroc,Casablanca,22,3,1980,Home,2160,Sí,Grup B,Ali Bennani,False,1980-03-22,45,0.035,2235.6
13299063V,403,Marc,Ferrer García,Espanya,València,21,4,1996,Home,1618,No,Grup B,Marc Ferrer García,True,1996-04-21,29,0.035,1674.63
67537453P,408,Joan,Romero Martínez,Espanya,Bilbao,24,12,1985,Home,1764,No,Grup B,Joan Romero Martínez,True,1985-12-24,39,0.035,1825.74
97299170Q,415,Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1336,Sí,Grup B,Marta Romero Ferrer,True,1962-02-07,63,0.035,1382.76
98511923W,416,Carla,Castells Castells,Espanya,Sevilla,22,6,1979,Dona,1845,No,Grup B,Carla Castells Castells,True,1979-06-22,46,0.035,1909.57
50115394L,419,Arnau,Martínez,Espanya,Bilbao,25,4,1959,Home,1372,Sí,Grup B,Arnau Martínez,True,1959-04-25,66,0.035,1420.02
15838881W,429,Marta,Romero,Espanya,Sevilla,26,10,2002,Dona,1291,Sí,Grup B,Marta Romero,True,2002-10-26,23,0.035,1336.18
88164399Q,430,Camille,Girard Lefevre,França,París,26,1,2001,Dona,1521,Sí,Grup B,Camille Girard Lefevre,False,2001-01-26,24,0.035,1574.24
83561180C,433,Carla,López,Espanya,Bilbao,7,7,2003,Dona,1760,Sí,Grup B,Carla López,True,2003-07-07,22,0.035,1821.6
80116589E,434,Toni,Castells Romero,Espanya,València,26,8,1988,Home,1292,Sí,Grup B,Toni Castells Romero,True,1988-08-26,37,0.035,1337.22
70945038M,436,Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1672,No,Grup B,Leon Schneider,False,1981-05-05,44,0.035,1730.52
66590677S,445,Marta,García,Espanya,Bilbao,19,8,1950,Dona,1431,No,Grup B,Marta García,True,1950-08-19,75,0.035,1481.08
67472696R,449,Francesca,Ferrari Ferrari,Itàlia,Torí,21,4,1990,,1316,No,Grup B,Francesca Ferrari Ferrari,False,1990-04-21,35,0.035,1362.06
79349076S,453,Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1506,No,Grup B,Núria Martínez Ferrer,True,1991-11-07,34,0.035,1558.71
50085415G,456,Joan,García,Espanya,Madrid,22,10,2000,Home,2067,No,Grup B,Joan García,True,2000-10-22,25,0.035,2139.34
88571285P,457,Oriol,Castells,Espanya,Bilbao,13,4,1972,Home,1592,Sí,Grup B,Oriol Castells,True,1972-04-13,53,0.035,1647.72
53588164S,458,Jordi,Ferrer López,Espanya,Madrid,13,9,1955,Home,1691,Sí,Grup B,Jordi Ferrer López,True,1955-09-13,70,0.035,1750.18
29092175V,461,Marc,López Sánchez,Espanya,Sevilla,11,4,1968,Home,1315,No,Grup B,Marc López Sánchez,True,1968-04-11,57,0.035,1361.02
97241617V,462,Marta,López Sánchez,Espanya,Madrid,17,5,1992,Dona,1871,Sí,Grup B,Marta López Sánchez,True,1992-05-17,33,0.035,1936.48
44603694F,473,Toni,Castells,Espanya,València,4,9,1964,Home,1297,No,Grup B,Toni Castells,True,1964-09-04,61,0.035,1342.4
50351415W,474,Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1147,Sí,Grup B,Núria Ferrer,True,2001-09-19,24,0.035,1187.14
83461359C,477,Marc,Romero,Espanya,Madrid,2,8,1984,Home,1635,No,Grup B,Marc Romero,True,1984-08-02,41,0.035,1692.22
63487190Q,482,Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1482,No,Grup B,Laia Castells López,True,1969-11-15,56,0.035,1533.87
89757860E,486,Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1370,Sí,Grup B,Eva Castells Martínez,True,1996-07-15,29,0.035,1417.95
60982309S,487,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2042,No,Grup B,Lukas Müller Fischer,False,1971-03-28,54,0.035,2113.47
49562152B,488,Marta,Ferrer,Espanya,Madrid,25,5,1976,Dona,1922,No,Grup B,Marta Ferrer,True,1976-05-25,49,0.035,1989.27
32909990R,491,Laia,Romero,Espanya,Sevilla,18,5,1960,Dona,1354,No,Grup B,Laia Romero,True,1960-05-18,65,0.035,1401.39
44724403H,493,Toni,Ferrer,Espanya,Bilbao,20,2,1980,Home,1454,No,Grup B,Toni Ferrer,True,1980-02-20,45,0.035,1504.89
54525691Y,494,Laia,García Ferrer,Espanya,Bilbao,19,1,1970,Dona,1765,No,Grup B,Laia García Ferrer,True,1970-01-19,55,0.035,1826.78
74821823F,495,Beatriz,Oliveira Ferreira,Portugal,Lisboa,5,9,1985,Dona,1548,Sí,Grup B,Beatriz Oliveira Ferreira,False,1985-09-05,40,0.035,1602.18
41974885N,499,Arnau,Ferrer Romero,Espanya,València,13,7,1958,Home,1786,Sí,Grup B,Arnau Ferrer Romero,True,1958-07-13,67,0.035,1848.51
78223675H,503,Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2238,Sí,Grup B,Santiago Gutiérrez Torres,False,1959-12-04,66,0.035,2316.33
64394445D,507,Gabriela,Ramírez,Mèxic,Ciutat de Mèxic,19,2,1990,Dona,1569,Sí,Grup B,Gabriela Ramírez,False,1990-02-19,35,0.035,1623.92
18457673C,509,Carla,Martínez,Espanya,València,17,4,1999,Dona,1281,No,Grup B,Carla Martínez,True,1999-04-17,26,0.035,1325.83
33585026G,511,Youssef,El Amrani Fassi,Marroc,Rabat,13,10,1981,Home,1785,No,Grup B,Youssef El Amrani Fassi,False,1981-10-13,44,0.035,1847.48
90216535S,513,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1292,Sí,Grup B,Martina Rodríguez Gómez,False,1978-03-10,47,0.035,1337.22
74822167B,514,Antoine,Lefevre,França,Marsella,1,10,1953,Home,1745,No,Grup B,Antoine Lefevre,False,1953-10-01,72,0.035,1806.07
23955973V,515,Eva,Ferrer Romero,Espanya,Bilbao,19,5,1976,Dona,1412,No,Grup B,Eva Ferrer Romero,True,1976-05-19,49,0.035,1461.42
72168409M,530,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,1992,Sí,Grup B,Lucas Fernández Álvarez,False,1993-04-27,32,0.035,2061.72
44215821L,531,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1181,No,Grup B,Julieta Rodríguez,False,1979-07-24,46,0.035,1222.33
23058334Y,533,Jordi,Ferrer,Espanya,Sevilla,5,3,1993,Home,1653,Sí,Grup B,Jordi Ferrer,True,1993-03-05,32,0.035,1710.85
25439397A,543,Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1270,No,Grup B,Pau Ferrer García,True,1982-03-21,43,0.035,1314.45
89577876S,547,Emily,Taylor Jones,Regne Unit,Manchester,28,3,1958,Dona,2033,No,Grup B,Emily Taylor Jones,False,1958-03-28,67,0.035,2104.15
76782023V,548,Anna,Castells García,Espanya,Bilbao,26,3,1950,Dona,1465,Sí,Grup B,Anna Castells García,True,1950-03-26,75,0.035,1516.28
87154578D,549,Toni,Martínez,Espanya,Bilbao,5,7,1973,Home,1643,Sí,Grup B,Toni Martínez,True,1973-07-05,52,0.035,1700.5
19721783S,550,Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,1964,No,Grup B,Núria Ferrer,True,1983-12-07,41,0.035,2032.74
87257820C,556,Marta,García,Espanya,València,14,5,1976,Dona,1582,No,Grup B,Marta García,True,1976-05-14,49,0.035,1637.37
62035858J,557,Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1524,Sí,Grup B,Sara Castro,False,1974-12-04,51,0.035,1577.34
97143963K,560,Chiara,Russo Conti,Itàlia,Roma,6,11,1985,Altres,1441,Sí,Grup B,Chiara Russo Conti,False,1985-11-06,40,0.035,1491.44
