DNI,Index_original,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_complet,Nascut_a_Espanya,data_naixement,edat,Increment,Salari mensual actualitzat
92828803F,101,Eva,Romero,Espanya,València,16,4,1985,Dona,1077,Sí,Grup A,Eva Romero,True,1985-04-16,40,0.05,1130.85
24213568B,103,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1240,Sí,Grup A,Felipe Torres,False,1970-03-19,55,0.05,1302.0
69934163X,104,Laia,Martínez Ferrer,Espanya,Bilbao,19,10,1956,Dona,981,Sí,Grup A,Laia Martínez Ferrer,True,1956-10-19,69,0.05,1030.05
48108194K,105,Marta,Sánchez,Espanya,Bilbao,1,9,1972,Dona,1154,No,Grup A,Marta Sánchez,True,1972-09-01,53,0.05,1211.7
36035835A,107,Toni,Romero,Espanya,València,26,11,1991,Home,1377,Sí,Grup A,Toni Romero,True,1991-11-26,34,0.05,1445.85
25463106V,108,Núria,Ferrer,Espanya,Barcelona,18,4,1957,,1396,Sí,Grup A,Núria Ferrer,True,1957-04-18,68,0.05,1465.8
89652804F,110,Marc,Ferrer Castells,Espanya,Barcelona,25,8,2002,Home,1672,No,Grup A,Marc Ferrer Castells,True,2002-08-25,23,0.05,1755.6
42278299Y,117,Toni,Ferrer,Espanya,Madrid,19,8,1967,Home,1563,No,Grup A,Toni Ferrer,True,1967-08-19,58,0.05,1641.15
35072309W,118,Pau,Ferrer,Espanya,Bilbao,6,8,1964,Home,1156,No,Grup A,Pau Ferrer,True,1964-08-06,61,0.05,1213.8
85696755S,120,Marc,García,Espanya,Barcelona,23,7,1998,Home,1341,Sí,Grup A,Marc García,True,1998-07-23,27,0.05,1408.05
45293682M,122,Joan,Sánchez,Espanya,Sevilla,5,8,1988,Home,1072,Sí,Grup A,Joan Sánchez,True,1988-08-05,37,0.05,1125.6
68948799D,123,Clara,Castells García,Espanya,Bilbao,11,1,1964,Dona,1100,Sí,Grup A,Clara Castells García,True,1964-01-11,61,0.05,1155.0
18522481J,125,Oriol,Martínez,Espanya,Madrid,18,1,1994,Home,1505,No,Grup A,Oriol Martínez,True,1994-01-18,31,0.05,1580.25
23128433S,126,Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1280,No,Grup A,Anna Müller,False,1956-03-18,69,0.05,1344.0
43378401L,127,Núria,Castells Sánchez,Espanya,Sevilla,26,3,1975,Dona,665,No,Grup A,Núria Castells Sánchez,True,1975-03-26,50,0.05,698.25
77333333Q,128,Pau,Ferrer,Espanya,Sevilla,1,1,1999,Home,1538,No,Grup A,Pau Ferrer,True,1999-01-01,26,0.05,1614.9
62356732M,129,Tiago,Silva Pereira,Portugal,Porto,24,3,1980,Home,1431,No,Grup A,Tiago Silva Pereira,False,1980-03-24,45,0.05,1502.55
78286678X,130,Marc,García Ferrer,Espanya,València,16,8,1998,Home,1193,No,Grup A,Marc García Ferrer,True,1998-08-16,27,0.05,1252.65
57021851P,132,Pau,Castells,Espanya,Sevilla,23,3,1978,Home,819,No,Grup A,Pau Castells,True,1978-03-23,47,0.05,859.95
76101195A,133,Jean,Lefevre,França,Marsella,8,10,1959,Home,780,No,Grup A,Jean Lefevre,False,1959-10-08,66,0.05,819.0
63688361W,136,Joan,García,Espanya,Barcelona,24,12,1957,Home,1558,Sí,Grup A,Joan García,True,1957-12-24,67,0.05,1635.9
96178808S,140,Pau,Romero Castells,Espanya,Madrid,14,7,1996,Home,1552,Sí,Grup A,Pau Romero Castells,True,1996-07-14,29,0.05,1629.6
98226417L,141,Giulia,Russo Conti,Itàlia,Milà,25,2,1971,Dona,1044,No,Grup A,Giulia Russo Conti,False,1971-02-25,54,0.05,1096.2
99620931S,142,Clara,Sánchez Castells,Espanya,València,19,3,1972,Dona,1156,No,Grup A,Clara Sánchez Castells,True,1972-03-19,53,0.05,1213.8
65405375Z,143,Marc,García Romero,Espanya,Sevilla,2,1,1982,Home,1126,No,Grup A,Marc García Romero,True,1982-01-02,43,0.05,1182.3
10674532Q,144,Jordi,Castells Ferrer,Espanya,Bilbao,23,2,1979,Home,1219,No,Grup A,Jordi Castells Ferrer,True,1979-02-23,46,0.05,1279.95
55464877X,145,Laia,Castells,Espanya,Sevilla,6,10,1992,,1471,No,Grup A,Laia Castells,True,1992-10-06,33,0.05,1544.55
30574341W,149,Oriol,García,Espanya,Madrid,8,3,1954,Altres,1562,No,Grup A,Oriol García,True,1954-03-08,71,0.05,1640.1
97566754L,150,Marc,Martínez Martínez,Espanya,Barcelona,6,4,2001,,1105,Sí,Grup A,Marc Martínez Martínez,True,2001-04-06,24,0.05,1160.25
54607036B,152,Eva,Ferrer,Espanya,Sevilla,24,1,1967,Dona,809,No,Grup A,Eva Ferrer,True,1967-01-24,58,0.05,849.45
27007812G,153,Toni,Romero,Espanya,Barcelona,9,12,1989,Home,1659,Sí,Grup A,Toni Romero,True,1989-12-09,35,0.05,1741.95
20733024B,155,Jordi,Ferrer Martínez,Espanya,Sevilla,26,1,1970,Home,1464,Sí,Grup A,Jordi Ferrer Martínez,True,1970-01-26,55,0.05,1537.2
53967981Q,158,Pau,Sánchez,Espanya,Madrid,1,12,1982,Altres,854,No,Grup A,Pau Sánchez,True,1982-12-01,43,0.05,896.7
52195959W,160,Carla,Castells García,Espanya,Bilbao,7,1,1994,Dona,1294,No,Grup A,Carla Castells García,True,1994-01-07,31,0.05,1358.7
93759961P,162,Alessandro,Russo Ferrari,Itàlia,Roma,13,8,1965,Home,940,No,Grup A,Alessandro Russo Ferrari,False,1965-08-13,60,0.05,987.0
45820844F,163,Michel,Lefevre,França,Lió,14,1,1985,Home,821,Sí,Grup A,Michel Lefevre,False,1985-01-14,40,0.05,862.05
89715580M,164,Salma,Zahraoui El Amrani,Marroc,Rabat,28,9,1950,Dona,1141,No,Grup A,Salma Zahraoui El Amrani,False,1950-09-28,75,0.05,1198.05
14065699S,168,Núria,Sánchez,Espanya,Sevilla,2,11,1991,Dona,1027,No,Grup A,Núria Sánchez,True,1991-11-02,34,0.05,1078.35
13695774G,169,Eva,Castells,Espanya,Madrid,20,11,1957,Dona,1377,No,Grup A,Eva Castells,True,1957-11-20,68,0.05,1445.85
15812105B,174,Marc,Martínez Ferrer,Espanya,Madrid,14,7,1971,Altres,1199,No,Grup A,Marc Martínez Ferrer,True,1971-07-14,54,0.05,1258.95
68523497H,182,Marta,Ferrer,Espanya,Madrid,6,10,1986,Dona,1280,No,Grup A,Marta Ferrer,True,1986-10-06,39,0.05,1344.0
85011730B,188,Oriol,García Castells,Espanya,Barcelona,18,6,1955,Home,1212,No,Grup A,Oriol García Castells,True,1955-06-18,70,0.05,1272.6
26724488C,189,Arnau,Ferrer Sánchez,Espanya,Sevilla,3,5,1994,Home,1079,No,Grup A,Arnau Ferrer Sánchez,True,1994-05-03,31,0.05,1132.95
76202240S,190,Louis,Moreau,França,Lió,13,2,1974,Home,1664,Sí,Grup A,Louis Moreau,False,1974-02-13,51,0.05,1747.2
59073585L,194,Oriol,Martínez Martínez,Espanya,Sevilla,14,6,1991,,1122,Sí,Grup A,Oriol Martínez Martínez,True,1991-06-14,34,0.05,1178.1
65912422Z,198,Carla,López,Espanya,Barcelona,18,7,1965,Dona,1159,Sí,Grup A,Carla López,True,1965-07-18,60,0.05,1216.95
18599075T,199,Eva,Sánchez,Espanya,Sevilla,7,8,1992,Dona,999,Sí,Grup A,Eva Sánchez,True,1992-08-07,33,0.05,1048.95
18968118M,203,Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1376,No,Grup A,Felipe Gutiérrez Torres,False,2004-10-25,21,0.05,1444.8
52655443Q,204,Gabriela,Cruz González,Mèxic,Ciutat de Mèxic,3,1,1955,Dona,1033,Sí,Grup A,Gabriela Cruz González,False,1955-01-03,70,0.05,1084.65
77962069Z,205,Carla,Ferrer López,Espanya,València,2,4,1984,Dona,1495,Sí,Grup A,Carla Ferrer López,True,1984-04-02,41,0.05,1569.75
79849410R,207,Carla,Ferrer López,Espanya,Sevilla,17,7,1982,Dona,816,No,Grup A,Carla Ferrer López,True,1982-07-17,43,0.05,856.8
58786173A,209,Laia,Martínez,Espanya,Madrid,26,2,1979,Dona,1306,No,Grup A,Laia Martínez,True,1979-02-26,46,0.05,1371.3
80377928E,211,José,Hernández,Mèxic,Guadalajara,12,1,1992,Altres,1372,No,Grup A,José Hernández,False,1992-01-12,33,0.05,1440.6
35319597A,213,Toni,López Castells,Espanya,Sevilla,18,8,1977,Home,772,No,Grup A,Toni López Castells,True,1977-08-18,48,0.05,810.6
78873166E,214,Beatriz,Ferreira Ferreira,Portugal,Lisboa,17,11,1952,,974,No,Grup A,Beatriz Ferreira Ferreira,False,1952-11-17,73,0.05,1022.7
50776135C,215,Laia,Ferrer,Espanya,Barcelona,23,11,1972,Dona,940,No,Grup A,Laia Ferrer,True,1972-11-23,53,0.05,987.0
20477181R,216,Anna,Castells García,Espanya,Barcelona,22,10,1952,Dona,698,No,Grup A,Anna Castells García,True,1952-10-22,73,0.05,732.9
96251362T,217,Oriol,Ferrer Martínez,Espanya,Barcelona,26,7,1950,Home,954,No,Grup A,Oriol Ferrer Martínez,True,1950-07-26,75,0.05,1001.7
21898585T,218,Jordi,Sánchez,Espanya,Barcelona,18,6,1981,Home,800,Sí,Grup A,Jordi Sánchez,True,1981-06-18,44,0.05,840.0
60439277L,223,Marc,Castells Sánchez,Espanya,Madrid,24,10,1974,Home,842,No,Grup A,Marc Castells Sánchez,True,1974-10-24,51,0.05,884.1
24418722F,225,Marta,Romero Sánchez,Espanya,Bilbao,19,7,1968,Dona,1036,No,Grup A,Marta Romero Sánchez,True,1968-07-19,57,0.05,1087.8
93647831W,226,Jordi,Sánchez Martínez,Espanya,Barcelona,6,11,1998,Home,1095,No,Grup A,Jordi Sánchez Martínez,True,1998-11-06,27,0.05,1149.75
63099488Q,228,Youssef,Fassi Zahraoui,Marroc,Casablanca,8,3,2003,Home,1239,Sí,Grup A,Youssef Fassi Zahraoui,False,2003-03-08,22,0.05,1300.95
16775772V,229,Pau,López,Espanya,Madrid,24,5,1977,Home,847,No,Grup A,Pau López,True,1977-05-24,48,0.05,889.35
58136944R,230,Marta,Ferrer,Espanya,Barcelona,28,6,2001,Dona,1303,Sí,Grup A,Marta Ferrer,True,2001-06-28,24,0.05,1368.15
43731528C,231,Oliver,Jones,Regne Unit,Londres,1,6,1959,Home,911,Sí,Grup A,Oliver Jones,False,1959-06-01,66,0.05,956.55
56628392X,233,Carla,García Martínez,Espanya,Madrid,19,4,1981,Dona,1491,Sí,Grup A,Carla García Martínez,True,1981-04-19,44,0.05,1565.55
37718344N,234,Marta,García Sánchez,Espanya,València,3,2,1962,Dona,1120,Sí,Grup A,Marta García Sánchez,True,1962-02-03,63,0.05,1176.0
77632270Q,235,Laia,Castells,Espanya,Madrid,11,4,1986,Dona,917,No,Grup A,Laia Castells,True,1986-04-11,39,0.05,962.85
80554783G,236,Sophie,Moreau Dubois,França,Marsella,27,4,1956,Dona,1506,No,Grup A,Sophie Moreau Dubois,False,1956-04-27,69,0.05,1581.3
76674953J,237,Jordi,Sánchez,Espanya,Bilbao,5,3,1952,Home,1249,No,Grup A,Jordi Sánchez,True,1952-03-05,73,0.05,1311.45
10261037F,239,Clara,Sánchez,Espanya,Sevilla,14,10,1970,Dona,938,Sí,Grup A,Clara Sánchez,True,1970-10-14,55,0.05,984.9
72940295V,240,Tiago,Oliveira,Portugal,Porto,22,3,1989,Home,1354,Sí,Grup A,Tiago Oliveira,False,1989-03-22,36,0.05,1421.7
53263676R,241,Chloé,Girard,França,París,5,10,1952,Dona,741,Sí,Grup A,Chloé Girard,False,1952-10-05,73,0.05,778.05
69900538Q,246,Núria,López Romero,Espanya,Barcelona,17,9,1957,Dona,1047,No,Grup A,Núria López Romero,True,1957-09-17,68,0.05,1099.35
97525504X,248,Laia,Martínez,Espanya,Barcelona,22,1,1951,Dona,1188,Sí,Grup A,Laia Martínez,True,1951-01-22,74,0.05,1247.4
49833520M,250,Marta,García Romero,Espanya,Madrid,27,10,1984,Dona,954,No,Grup A,Marta García Romero,True,1984-10-27,41,0.05,1001.7
30736318Q,252,Élise,Moreau,França,París,25,7,2001,Dona,930,No,Grup A,Élise Moreau,False,2001-07-25,24,0.05,976.5
57192874B,253,Pau,Romero Romero,Espanya,Sevilla,12,4,1990,Home,940,No,Grup A,Pau Romero Romero,True,1990-04-12,35,0.05,987.0
31682831V,257,Daniela,Torres,Colòmbia,Medellín,17,5,1970,Dona,1064,Sí,Grup A,Daniela Torres,False,1970-05-17,55,0.05,1117.2
81401769X,261,Clara,Ferrer,Espanya,València,14,12,2002,Dona,979,Sí,Grup A,Clara Ferrer,True,2002-12-14,22,0.05,1027.95
98052221N,262,Marta,Martínez,Espanya,Bilbao,22,6,1973,Dona,818,No,Grup A,Marta Martínez,True,1973-06-22,52,0.05,858.9
68625528R,264,Jordi,López,Espanya,València,1,5,1996,Home,1319,Sí,Grup A,Jordi López,True,1996-05-01,29,0.05,1384.95
58101481N,265,Jordi,Sánchez,Espanya,Bilbao,20,4,1993,Home,1289,No,Grup A,Jordi Sánchez,True,1993-04-20,32,0.05,1353.45
12401771G,266,Anna,García,Espanya,Madrid,19,7,1972,,1019,No,Grup A,Anna García,True,1972-07-19,53,0.05,1069.95
16472230S,271,Clara,Ferrer García,Espanya,València,26,1,1957,Dona,696,Sí,Grup A,Clara Ferrer García,True,1957-01-26,68,0.05,730.8
29758839B,272,Eva,García Sánchez,Espanya,Madrid,28,5,1968,Dona,948,No,Grup A,Eva García Sánchez,True,1968-05-28,57,0.05,995.4
34349532Y,273,Marc,Ferrer Sánchez,Espanya,Barcelona,15,7,1977,Home,1674,No,Grup A,Marc Ferrer Sánchez,True,1977-07-15,48,0.05,1757.7
52037173E,274,Núria,García Martínez,Espanya,Barcelona,26,5,2005,Dona,1320,Sí,Grup A,Núria García Martínez,True,2005-05-26,20,0.05,1386.0
38355195J,275,Pau,Ferrer García,Espanya,València,14,9,1984,Home,1269,Sí,Grup A,Pau Ferrer García,True,1984-09-14,41,0.05,1332.45
61746871V,276,Alessandro,Ferrari,Itàlia,Torí,13,4,1972,Altres,1334,Sí,Grup A,Alessandro Ferrari,False,1972-04-13,53,0.05,1400.7
59810160K,277,Jordi,Romero Ferrer,Espanya,Madrid,15,4,2002,Home,1289,No,Grup A,Jordi Romero Ferrer,True,2002-04-15,23,0.05,1353.45
10102138Q,280,Núria,Sánchez Martínez,Espanya,Madrid,4,1,1958,Dona,1450,No,Grup A,Núria Sánchez Martínez,True,1958-01-04,67,0.05,1522.5
23266650S,281,Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1314,No,Grup A,Lea Müller,False,2003-04-14,22,0.05,1379.7
74165595P,282,Jordi,Castells,Espanya,Bilbao,1,6,1953,Home,1326,Sí,Grup A,Jordi Castells,True,1953-06-01,72,0.05,1392.3
37325572G,283,Carla,López López,Espanya,Barcelona,7,3,1956,Dona,812,Sí,Grup A,Carla López López,True,1956-03-07,69,0.05,852.6
21309247F,284,Oriol,García Ferrer,Espanya,Barcelona,9,12,2003,Home,1603,Sí,Grup A,Oriol García Ferrer,True,2003-12-09,21,0.05,1683.15
92913286B,285,Michel,Dubois Dubois,França,Lió,4,9,1979,Home,1095,No,Grup A,Michel Dubois Dubois,False,1979-09-04,46,0.05,1149.75
71124235C,286,Carla,Ferrer,Espanya,Barcelona,27,10,1987,Dona,836,No,Grup A,Carla Ferrer,True,1987-10-27,38,0.05,877.8
42839231P,288,Arnau,López Martínez,Espanya,Barcelona,15,11,1972,Home,1587,No,Grup A,Arnau López Martínez,True,1972-11-15,53,0.05,1666.35
90781919E,289,Miguel,González,Mèxic,Guadalajara,15,9,1955,Home,1174,No,Grup A,Miguel González,False,1955-09-15,70,0.05,1232.7
43099073D,293,Marc,Martínez Martínez,Espanya,Bilbao,4,1,2001,Home,1668,Sí,Grup A,Marc Martínez Martínez,True,2001-01-04,24,0.05,1751.4
71930041T,295,Oriol,Romero Castells,Espanya,València,25,4,1970,Home,1466,No,Grup A,Oriol Romero Castells,True,1970-04-25,55,0.05,1539.3
20637004R,296,Jordi,Romero López,Espanya,Sevilla,13,3,1973,Home,1366,No,Grup A,Jordi Romero López,True,1973-03-13,52,0.05,1434.3
16777341F,299,José,González,Mèxic,Ciutat de Mèxic,16,8,1973,Home,1026,No,Grup A,José González,False,1973-08-16,52,0.05,1077.3
38867232T,304,Eva,García,Espanya,València,28,9,1950,Dona,756,No,Grup A,Eva García,True,1950-09-28,75,0.05,793.8
15056420W,305,George,Taylor Taylor,Regne Unit,Londres,8,9,1965,Home,1135,Sí,Grup A,George Taylor Taylor,False,1965-09-08,60,0.05,1191.75
21786454M,307,Laia,Martínez,Espanya,Barcelona,11,2,1951,Dona,1306,No,Grup A,Laia Martínez,True,1951-02-11,74,0.05,1371.3
28269893J,308,Joan,Martínez Martínez,Espanya,València,1,2,1960,Home,1010,No,Grup A,Joan Martínez Martínez,True,1960-02-01,65,0.05,1060.5
26819385K,310,Sara,Torres Castro,Colòmbia,Medellín,8,8,1987,Dona,1045,No,Grup A,Sara Torres Castro,False,1987-08-08,38,0.05,1097.25
66434842X,311,James,Smith,Regne Unit,Londres,1,6,1954,Home,1078,No,Grup A,James Smith,False,1954-06-01,71,0.05,1131.9
63679621R,312,Laia,Martínez Romero,Espanya,Barcelona,5,9,1958,Dona,1045,No,Grup A,Laia Martínez Romero,True,1958-09-05,67,0.05,1097.25
12700084Q,314,Pau,Ferrer López,Espanya,Madrid,16,2,1966,,1183,Sí,Grup A,Pau Ferrer López,True,1966-02-16,59,0.05,1242.15
62868203H,317,Marta,López,Espanya,Madrid,26,8,1988,Dona,1339,Sí,Grup A,Marta López,True,1988-08-26,37,0.05,1405.95
94719538H,324,Carla,Romero Ferrer,Espanya,Sevilla,28,5,1991,Dona,730,No,Grup A,Carla Romero Ferrer,True,1991-05-28,34,0.05,766.5
57512928A,325,Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,995,No,Grup A,Laura Castro Gutiérrez,False,1950-02-18,75,0.05,1044.75
80030295H,326,Carla,Romero López,Espanya,Barcelona,23,5,2002,Dona,776,Sí,Grup A,Carla Romero López,True,2002-05-23,23,0.05,814.8
25373007Z,327,Eva,García,Espanya,Madrid,10,3,1971,,1228,Sí,Grup A,Eva García,True,1971-03-10,54,0.05,1289.4
90109014Q,329,Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,766,No,Grup A,Mia Schneider Müller,False,1957-03-28,68,0.05,804.3
54523654J,336,Jordi,Romero Romero,Espanya,València,11,6,1984,Home,972,No,Grup A,Jordi Romero Romero,True,1984-06-11,41,0.05,1020.6
14486584J,342,Marta,Romero Castells,Espanya,València,12,12,1988,Dona,835,No,Grup A,Marta Romero Castells,True,1988-12-12,36,0.05,876.75
74694535Z,343,Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,764,No,Grup A,Lucía Fernández,False,1953-08-08,72,0.05,802.2
29043853R,344,Toni,García Ferrer,Espanya,València,22,9,1988,Home,1018,No,Grup A,Toni García Ferrer,True,1988-09-22,37,0.05,1068.9
87981337P,346,Amina,Zahraoui Fassi,Marroc,Casablanca,20,1,1984,Dona,1107,No,Grup A,Amina Zahraoui Fassi,False,1984-01-20,41,0.05,1162.35
44910416G,349,Toni,Romero,Espanya,València,17,2,2003,Home,1624,Sí,Grup A,Toni Romero,True,2003-02-17,22,0.05,1705.2
60957935K,350,Eva,López,Espanya,Bilbao,26,12,1964,Dona,1214,No,Grup A,Eva López,True,1964-12-26,60,0.05,1274.7
57544317R,351,Louis,Girard Lefevre,França,Marsella,26,3,1983,Home,1009,Sí,Grup A,Louis Girard Lefevre,False,1983-03-26,42,0.05,1059.45
